id;protector_height;summer_discount;winter_discount
1;1;0.99;0.99
2;2;0.99;0.99
3;3;0.99;0.99
4;4;0.8;0.99
5;5;0.6;0.8
6;6;0.4;0.65
7;7;0.25;0.5
8;8;0.1;0.35
9;9;0;0.20
10;10;0;0.1
11;11;0;0.1
12;12;0;0.1
