id;diametr;thorn_price
1;R13; 0.25 
2;R14; 0.17 
3;R15; 0.20 
4;R16; 0.25 
5;R17; 0.20 
6;R18; 0.14 
7;R19; 0.11 
8;R20; 0.14 
9;R21; 0.15 
10;R22; 0.17 
